"agno";"city";"AVPP"
2012;"Antofagasta";4844,6961135366
2012;"Arica";5043,00746627079
2012;"Chillán";4810,03400998289
2012;"Copiapo";4968,02523014437
2012;"Coyhaique";3405,69607647879
2012;"Gran Concepcion";4210,30603085091
2012;"Gran Coquimbo";4387,27034087801
2012;"Gran Santiago";4072,93975313471
2012;"Iquique - Alto Hospicio";4443,62580607511
2012;"Puerto Montt - Varas";4909,10249729126
2012;"Punta Arenas";4985,7074215537
2012;"Rancagua - Machalí";5281,4588867159
2012;"Talca - Maule";4163,63018024583
2012;"Temuco";3833,12137031866
2012;"Valdivia";4296,23834669796
2012;"Valparaíso Metropolitano";4087,12149051889
