"codcomuna","grado","dato"
1101,"1° Básico",48.7
1101,"Kínder",38.9
1107,"1° Básico",45.2
1107,"Kínder",43.2
2101,"1° Básico",46.4
2101,"Kínder",39.6
3101,"1° Básico",53.5
3101,"Kínder",36.4
4101,"1° Básico",52.4
4101,"Kínder",37.4
4102,"1° Básico",47.7
4102,"Kínder",42.2
5101,"1° Básico",49.9
5101,"Kínder",41.4
5103,"1° Básico",54.6
5103,"Kínder",40.6
5109,"1° Básico",51.6
5109,"Kínder",41.5
5801,"1° Básico",48.6
5801,"Kínder",36.6
5804,"1° Básico",46.7
5804,"Kínder",42.2
6101,"1° Básico",49.7
6101,"Kínder",39.1
6108,"1° Básico",45.2
6108,"Kínder",40.4
7101,"1° Básico",48.7
7101,"Kínder",38.5
7105,"1° Básico",44.1
7105,"Kínder",27.7
8101,"1° Básico",55.5
8101,"Kínder",42.1
8102,"1° Básico",53.2
8102,"Kínder",45.6
8103,"1° Básico",45.6
8103,"Kínder",36.9
8106,"1° Básico",49.4
8106,"Kínder",40
8107,"1° Básico",54.3
8107,"Kínder",40.6
8108,"1° Básico",53.9
8108,"Kínder",45.6
8110,"1° Básico",52.4
8110,"Kínder",41.5
8111,"1° Básico",46.6
8111,"Kínder",43.1
8112,"1° Básico",55.7
8112,"Kínder",44.2
9101,"1° Básico",50.6
9101,"Kínder",43.3
9112,"1° Básico",54.7
9112,"Kínder",46.4
10101,"1° Básico",50.5
10101,"Kínder",47.1
10109,"1° Básico",57.7
10109,"Kínder",36.9
11101,"1° Básico",58.3
11101,"Kínder",42.6
12101,"1° Básico",48.9
12101,"Kínder",37.8
13101,"1° Básico",46.9
13101,"Kínder",38.3
13102,"1° Básico",51.6
13102,"Kínder",38.8
13103,"1° Básico",50.8
13103,"Kínder",40.6
13104,"1° Básico",45.8
13104,"Kínder",38.2
13105,"1° Básico",52.1
13105,"Kínder",42.8
13106,"1° Básico",45.7
13106,"Kínder",41.7
13107,"1° Básico",38.6
13107,"Kínder",33.2
13108,"1° Básico",50.2
13108,"Kínder",37.2
13109,"1° Básico",54.2
13109,"Kínder",32.6
13110,"1° Básico",46.8
13110,"Kínder",38.9
13111,"1° Básico",45.8
13111,"Kínder",41.2
13112,"1° Básico",49.5
13112,"Kínder",39.3
13113,"1° Básico",48.1
13113,"Kínder",38.2
13114,"1° Básico",42.7
13114,"Kínder",35.7
13115,"1° Básico",52.7
13115,"Kínder",42.5
13116,"1° Básico",55.1
13116,"Kínder",39.4
13117,"1° Básico",53.9
13117,"Kínder",40
13118,"1° Básico",57.3
13118,"Kínder",45.8
13119,"1° Básico",47.2
13119,"Kínder",40.2
13120,"1° Básico",48
13120,"Kínder",34.4
13121,"1° Básico",55.6
13121,"Kínder",37.9
13122,"1° Básico",54.1
13122,"Kínder",39.3
13123,"1° Básico",48.9
13123,"Kínder",30.4
13124,"1° Básico",52.6
13124,"Kínder",41.6
13125,"1° Básico",47.7
13125,"Kínder",35.9
13126,"1° Básico",48.3
13126,"Kínder",37.8
13127,"1° Básico",53
13127,"Kínder",38.1
13128,"1° Básico",50.4
13128,"Kínder",37.6
13129,"1° Básico",40.9
13129,"Kínder",40.6
13130,"1° Básico",49.6
13130,"Kínder",38.7
13131,"1° Básico",51.8
13131,"Kínder",37
13132,"1° Básico",56
13132,"Kínder",31.9
13201,"1° Básico",50.6
13201,"Kínder",38.5
13401,"1° Básico",47.1
13401,"Kínder",39.4
14101,"1° Básico",55
14101,"Kínder",43.7
15101,"1° Básico",47.3
15101,"Kínder",37.8
16101,"1° Básico",50.2
16101,"Kínder",43.4
16102,"1° Básico",42.2
16102,"Kínder",38
16103,"1° Básico",57.1
16103,"Kínder",48.8
16301,"1° Básico",60.4
16301,"Kínder",45.7
16305,"1° Básico",50
16305,"Kínder",18.9
