"comuna","dato"
1101,11.1
1107,16.2
2101,9
3101,8.4
4101,5.5
4102,6.7
5101,6.7
5103,4.7
5109,4.8
5801,4.3
5804,4.6
6101,5.4
6108,4.2
7101,5.8
7105,9.1
8101,5
8102,7.2
8103,5.5
8106,8.4
8107,8.3
8108,6.3
8110,6.1
8111,6.1
8112,6.2
9101,6.7
9112,9.2
10101,6.4
10109,5.5
11101,7.6
12101,5.3
13101,11.2
13102,9.5
13103,14.8
13104,12.2
13105,11.2
13106,13.6
13107,9.1
13108,15.8
13109,7.1
13110,6.2
13111,11.8
13112,14.1
13113,3.6
13114,1.8
13115,3.9
13116,14.1
13117,12.7
13118,6.7
13119,5.3
13120,2.7
13121,11.7
13122,9.5
13123,2.2
13124,9
13125,7.7
13126,10.4
13127,15.2
13128,11.6
13129,11.1
13130,5.9
13131,14.9
13132,0.7
13201,7.1
13401,10.2
14101,6
15101,9.9
16101,5.7
16102,6.3
16103,7
16301,6
16305,6.5
